,node_id,vsn,lat,lon,addr,temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,temp25,temp26,temp27,temp28,temp29,temp30,temp31,temp32,temp33,temp34,temp35,temp36,temp37,temp38,temp39,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48
0,001e06113d20,094,41.8920031,-87.6116431,Ohio St & Grand Ave Chicago IL,2018-01-01 00:00:00: 8.72,2018-01-01 00:30:00: 8.72,2018-01-01 01:00:00: 8.72,2018-01-01 01:30:00: 8.72,2018-01-01 02:00:00: 8.72,2018-01-01 02:30:00: 8.72,2018-01-01 03:00:00: 8.72,2018-01-01 03:30:00: 8.72,2018-01-01 04:00:00: 8.72,2018-01-01 04:30:00: 8.72,2018-01-01 05:00:00: 8.72,2018-01-01 05:30:00: 8.72,2018-01-01 06:00:00: 8.72,2018-01-01 06:30:00: 8.72,2018-01-01 07:00:00: 8.72,2018-01-01 07:30:00: 8.72,2018-01-01 08:00:00: 8.72,2018-01-01 08:30:00: 8.72,2018-01-01 09:00:00: 8.72,2018-01-01 09:30:00: 8.72,2018-01-01 10:00:00: 8.72,2018-01-01 10:30:00: 8.72,2018-01-01 11:00:00: 8.72,2018-01-01 11:30:00: 8.72,2018-01-01 12:00:00: 8.72,2018-01-01 12:30:00: 8.72,2018-01-01 13:00:00: 8.72,2018-01-01 13:30:00: 8.72,2018-01-01 14:00:00: 8.72,2018-01-01 14:30:00: 8.72,2018-01-01 15:00:00: 8.72,2018-01-01 15:30:00: 8.72,2018-01-01 16:00:00: 8.72,2018-01-01 16:30:00: 8.72,2018-01-01 17:00:00: 8.72,2018-01-01 17:30:00: 8.72,2018-01-01 18:00:00: 8.72,2018-01-01 18:30:00: 8.72,2018-01-01 19:00:00: 8.72,2018-01-01 19:30:00: 8.72,2018-01-01 20:00:00: 8.72,2018-01-01 20:30:00: 8.72,2018-01-01 21:00:00: 8.72,2018-01-01 21:30:00: 8.72,2018-01-01 22:00:00: 8.72,2018-01-01 22:30:00: 8.72,2018-01-01 23:00:00: 8.72,2018-01-01 23:30:00: 8.72,2018-01-02 00:00:00: 8.72
1,001e0610e540,05A,41.838618,-87.607817,Fort Dearborn Dr & 31st St Chicago IL,2018-01-01 00:00:00: -11.78,2018-01-01 00:30:00: -12.38,2018-01-01 01:00:00: -13.26,2018-01-01 01:30:00: -13.31,2018-01-01 02:00:00: -14.27,2018-01-01 02:30:00: -14.79,2018-01-01 03:00:00: -15.14,2018-01-01 03:30:00: -15.57,2018-01-01 04:00:00: -15.59,2018-01-01 04:30:00: -16.35,2018-01-01 05:00:00: -16.19,2018-01-01 05:30:00: -17.05,2018-01-01 06:00:00: -17.26,2018-01-01 06:30:00: -17.96,2018-01-01 07:00:00: -18.6,2018-01-01 07:30:00: -18.61,2018-01-01 08:00:00: -19.04,2018-01-01 08:30:00: -19.38,2018-01-01 09:00:00: -19.33,2018-01-01 09:30:00: -19.8,2018-01-01 10:00:00: -20.18,2018-01-01 10:30:00: -20.36,2018-01-01 11:00:00: -20.42,2018-01-01 11:30:00: -20.75,2018-01-01 12:00:00: -20.99,2018-01-01 12:30:00: -21.08,2018-01-01 13:00:00: -21.32,2018-01-01 13:30:00: -21.29,2018-01-01 14:00:00: -21.08,2018-01-01 14:30:00: -21.16,2018-01-01 15:00:00: -20.93,2018-01-01 15:30:00: -20.46,2018-01-01 16:00:00: -20.07,2018-01-01 16:30:00: -19.59,2018-01-01 17:00:00: -18.76,2018-01-01 17:30:00: -17.77,2018-01-01 18:00:00: -17.61,2018-01-01 18:30:00: -16.87,2018-01-01 19:00:00: -16.2,2018-01-01 19:30:00: -16.16,2018-01-01 20:00:00: -15.77,2018-01-01 20:30:00: -14.84,2018-01-01 21:00:00: -15.21,2018-01-01 21:30:00: -15.99,2018-01-01 22:00:00: -16.47,2018-01-01 22:30:00: -17.2,2018-01-01 23:00:00: -17.71,2018-01-01 23:30:00: -18.18,2018-01-02 00:00:00: -18.47
2,001e0610ba57,041,41.881172,-87.686359,Western Ave & Madison St Chicago IL,2018-01-01 00:00:00: -12.08,2018-01-01 00:30:00: -12.49,2018-01-01 01:00:00: -13.39,2018-01-01 01:30:00: -13.8,2018-01-01 02:00:00: -14.42,2018-01-01 02:30:00: -14.53,2018-01-01 03:00:00: -15.2,2018-01-01 03:30:00: -15.43,2018-01-01 04:00:00: -15.95,2018-01-01 04:30:00: -16.1,2018-01-01 05:00:00: -15.75,2018-01-01 05:30:00: -16.55,2018-01-01 06:00:00: -16.85,2018-01-01 06:30:00: -17.53,2018-01-01 07:00:00: -18.03,2018-01-01 07:30:00: -18.32,2018-01-01 08:00:00: -18.49,2018-01-01 08:30:00: -19.04,2018-01-01 09:00:00: -19.25,2018-01-01 09:30:00: -19.16,2018-01-01 10:00:00: -19.5,2018-01-01 10:30:00: -19.95,2018-01-01 11:00:00: -20.11,2018-01-01 11:30:00: -20.34,2018-01-01 12:00:00: -19.87,2018-01-01 12:30:00: -20.92,2018-01-01 13:00:00: -20.74,2018-01-01 13:30:00: -20.94,2018-01-01 14:00:00: -20.29,2018-01-01 14:30:00: -19.81,2018-01-01 15:00:00: -19.18,2018-01-01 15:30:00: -18.39,2018-01-01 16:00:00: -18.56,2018-01-01 16:30:00: -17.63,2018-01-01 17:00:00: -17.44,2018-01-01 17:30:00: -17.82,2018-01-01 18:00:00: -15.75,2018-01-01 18:30:00: -15.55,2018-01-01 19:00:00: -15.32,2018-01-01 19:30:00: -15.14,2018-01-01 20:00:00: -14.9,2018-01-01 20:30:00: -14.58,2018-01-01 21:00:00: -14.91,2018-01-01 21:30:00: -14.79,2018-01-01 22:00:00: -16.33,2018-01-01 22:30:00: -16.27,2018-01-01 23:00:00: -16.87,2018-01-01 23:30:00: -17.7,2018-01-02 00:00:00: -17.84
3,001e06113f54,0A0,41.884607,-87.624577,Michigan Ave & Randolph St Chicago IL,2018-01-01 00:00:00: 16.46,2018-01-01 00:30:00: 16.46,2018-01-01 01:00:00: 16.46,2018-01-01 01:30:00: 16.46,2018-01-01 02:00:00: 16.46,2018-01-01 02:30:00: 16.46,2018-01-01 03:00:00: 16.46,2018-01-01 03:30:00: 16.46,2018-01-01 04:00:00: 16.46,2018-01-01 04:30:00: 16.46,2018-01-01 05:00:00: 16.46,2018-01-01 05:30:00: 16.46,2018-01-01 06:00:00: 16.46,2018-01-01 06:30:00: 16.46,2018-01-01 07:00:00: 16.46,2018-01-01 07:30:00: 16.46,2018-01-01 08:00:00: 16.46,2018-01-01 08:30:00: 16.46,2018-01-01 09:00:00: 16.46,2018-01-01 09:30:00: 16.46,2018-01-01 10:00:00: 16.46,2018-01-01 10:30:00: 16.46,2018-01-01 11:00:00: 16.46,2018-01-01 11:30:00: 16.46,2018-01-01 12:00:00: 16.46,2018-01-01 12:30:00: 16.46,2018-01-01 13:00:00: 16.46,2018-01-01 13:30:00: 16.46,2018-01-01 14:00:00: 16.46,2018-01-01 14:30:00: 16.46,2018-01-01 15:00:00: 16.46,2018-01-01 15:30:00: 16.46,2018-01-01 16:00:00: 16.46,2018-01-01 16:30:00: 16.46,2018-01-01 17:00:00: 16.46,2018-01-01 17:30:00: 16.46,2018-01-01 18:00:00: 16.46,2018-01-01 18:30:00: 16.46,2018-01-01 19:00:00: 16.46,2018-01-01 19:30:00: 16.46,2018-01-01 20:00:00: 16.46,2018-01-01 20:30:00: 16.46,2018-01-01 21:00:00: 16.46,2018-01-01 21:30:00: 16.46,2018-01-01 22:00:00: 16.46,2018-01-01 22:30:00: 16.46,2018-01-01 23:00:00: 16.46,2018-01-01 23:30:00: 16.46,2018-01-02 00:00:00: 16.46
4,001e06114fcf,098,41.954825,-87.645248,Lake Shore Drive & Irving Park Rd Chicago IL,2018-01-01 00:00:00: 16.64,2018-01-01 00:30:00: 16.64,2018-01-01 01:00:00: 16.64,2018-01-01 01:30:00: 16.64,2018-01-01 02:00:00: 16.64,2018-01-01 02:30:00: 16.64,2018-01-01 03:00:00: 16.64,2018-01-01 03:30:00: 16.64,2018-01-01 04:00:00: 16.64,2018-01-01 04:30:00: 16.64,2018-01-01 05:00:00: 16.64,2018-01-01 05:30:00: 16.64,2018-01-01 06:00:00: 16.64,2018-01-01 06:30:00: 16.64,2018-01-01 07:00:00: 16.64,2018-01-01 07:30:00: 16.64,2018-01-01 08:00:00: 16.64,2018-01-01 08:30:00: 16.64,2018-01-01 09:00:00: 16.64,2018-01-01 09:30:00: 16.64,2018-01-01 10:00:00: 16.64,2018-01-01 10:30:00: 16.64,2018-01-01 11:00:00: 16.64,2018-01-01 11:30:00: 16.64,2018-01-01 12:00:00: 16.64,2018-01-01 12:30:00: 16.64,2018-01-01 13:00:00: 16.64,2018-01-01 13:30:00: 16.64,2018-01-01 14:00:00: 16.64,2018-01-01 14:30:00: 16.64,2018-01-01 15:00:00: 16.64,2018-01-01 15:30:00: 16.64,2018-01-01 16:00:00: 16.64,2018-01-01 16:30:00: 16.64,2018-01-01 17:00:00: 16.64,2018-01-01 17:30:00: 16.64,2018-01-01 18:00:00: 16.64,2018-01-01 18:30:00: 16.64,2018-01-01 19:00:00: 16.64,2018-01-01 19:30:00: 16.64,2018-01-01 20:00:00: 16.64,2018-01-01 20:30:00: 16.64,2018-01-01 21:00:00: 16.64,2018-01-01 21:30:00: 16.64,2018-01-01 22:00:00: 16.64,2018-01-01 22:30:00: 16.64,2018-01-01 23:00:00: 16.64,2018-01-01 23:30:00: 16.64,2018-01-02 00:00:00: 16.64
5,001e0610ee41,032,41.882304,-87.671773,Wood St & Warren Blv Chicago IL,2018-01-01 00:00:00: -0.06,2018-01-01 00:30:00: -0.06,2018-01-01 01:00:00: -0.06,2018-01-01 01:30:00: -0.06,2018-01-01 02:00:00: -0.06,2018-01-01 02:30:00: -0.06,2018-01-01 03:00:00: -0.06,2018-01-01 03:30:00: -0.06,2018-01-01 04:00:00: -0.06,2018-01-01 04:30:00: -0.06,2018-01-01 05:00:00: -0.06,2018-01-01 05:30:00: -0.06,2018-01-01 06:00:00: -0.06,2018-01-01 06:30:00: -0.06,2018-01-01 07:00:00: -0.06,2018-01-01 07:30:00: -0.06,2018-01-01 08:00:00: -0.06,2018-01-01 08:30:00: -0.06,2018-01-01 09:00:00: -0.06,2018-01-01 09:30:00: -0.06,2018-01-01 10:00:00: -0.06,2018-01-01 10:30:00: -0.06,2018-01-01 11:00:00: -0.06,2018-01-01 11:30:00: -0.06,2018-01-01 12:00:00: -0.06,2018-01-01 12:30:00: -0.06,2018-01-01 13:00:00: -0.06,2018-01-01 13:30:00: -0.06,2018-01-01 14:00:00: -0.06,2018-01-01 14:30:00: -0.06,2018-01-01 15:00:00: -0.06,2018-01-01 15:30:00: -0.06,2018-01-01 16:00:00: -0.06,2018-01-01 16:30:00: -0.06,2018-01-01 17:00:00: -0.06,2018-01-01 17:30:00: -0.06,2018-01-01 18:00:00: -0.06,2018-01-01 18:30:00: -0.06,2018-01-01 19:00:00: -0.06,2018-01-01 19:30:00: -0.06,2018-01-01 20:00:00: -0.06,2018-01-01 20:30:00: -0.06,2018-01-01 21:00:00: -0.06,2018-01-01 21:30:00: -0.06,2018-01-01 22:00:00: -0.06,2018-01-01 22:30:00: -0.06,2018-01-01 23:00:00: -0.06,2018-01-01 23:30:00: -0.06,2018-01-02 00:00:00: -0.06
6,001e0610b9e5,02F,41.994597,-87.655523,Sheridan Rd & Granville Ave Chicago IL,2018-01-01 00:00:00: 0.27,2018-01-01 00:30:00: 0.27,2018-01-01 01:00:00: 0.27,2018-01-01 01:30:00: 0.27,2018-01-01 02:00:00: 0.27,2018-01-01 02:30:00: 0.27,2018-01-01 03:00:00: 0.27,2018-01-01 03:30:00: 0.27,2018-01-01 04:00:00: 0.27,2018-01-01 04:30:00: 0.27,2018-01-01 05:00:00: 0.27,2018-01-01 05:30:00: 0.27,2018-01-01 06:00:00: 0.27,2018-01-01 06:30:00: 0.27,2018-01-01 07:00:00: 0.27,2018-01-01 07:30:00: 0.27,2018-01-01 08:00:00: 0.27,2018-01-01 08:30:00: 0.27,2018-01-01 09:00:00: 0.27,2018-01-01 09:30:00: 0.27,2018-01-01 10:00:00: 0.27,2018-01-01 10:30:00: 0.27,2018-01-01 11:00:00: 0.27,2018-01-01 11:30:00: 0.27,2018-01-01 12:00:00: 0.27,2018-01-01 12:30:00: 0.27,2018-01-01 13:00:00: 0.27,2018-01-01 13:30:00: 0.27,2018-01-01 14:00:00: 0.27,2018-01-01 14:30:00: 0.27,2018-01-01 15:00:00: 0.27,2018-01-01 15:30:00: 0.27,2018-01-01 16:00:00: 0.27,2018-01-01 16:30:00: 0.27,2018-01-01 17:00:00: 0.27,2018-01-01 17:30:00: 0.27,2018-01-01 18:00:00: 0.27,2018-01-01 18:30:00: 0.27,2018-01-01 19:00:00: 0.27,2018-01-01 19:30:00: 0.27,2018-01-01 20:00:00: 0.27,2018-01-01 20:30:00: 0.27,2018-01-01 21:00:00: 0.27,2018-01-01 21:30:00: 0.27,2018-01-01 22:00:00: 0.27,2018-01-01 22:30:00: 0.27,2018-01-01 23:00:00: 0.27,2018-01-01 23:30:00: 0.27,2018-01-02 00:00:00: 0.27
7,001e06114fd6,0A7,41.88449,-87.636955,Upper Wacker Dr & Randolph St Chicago IL,2018-01-01 00:00:00: 18.97,2018-01-01 00:30:00: 18.97,2018-01-01 01:00:00: 18.97,2018-01-01 01:30:00: 18.97,2018-01-01 02:00:00: 18.97,2018-01-01 02:30:00: 18.97,2018-01-01 03:00:00: 18.97,2018-01-01 03:30:00: 18.97,2018-01-01 04:00:00: 18.97,2018-01-01 04:30:00: 18.97,2018-01-01 05:00:00: 18.97,2018-01-01 05:30:00: 18.97,2018-01-01 06:00:00: 18.97,2018-01-01 06:30:00: 18.97,2018-01-01 07:00:00: 18.97,2018-01-01 07:30:00: 18.97,2018-01-01 08:00:00: 18.97,2018-01-01 08:30:00: 18.97,2018-01-01 09:00:00: 18.97,2018-01-01 09:30:00: 18.97,2018-01-01 10:00:00: 18.97,2018-01-01 10:30:00: 18.97,2018-01-01 11:00:00: 18.97,2018-01-01 11:30:00: 18.97,2018-01-01 12:00:00: 18.97,2018-01-01 12:30:00: 18.97,2018-01-01 13:00:00: 18.97,2018-01-01 13:30:00: 18.97,2018-01-01 14:00:00: 18.97,2018-01-01 14:30:00: 18.97,2018-01-01 15:00:00: 18.97,2018-01-01 15:30:00: 18.97,2018-01-01 16:00:00: 18.97,2018-01-01 16:30:00: 18.97,2018-01-01 17:00:00: 18.97,2018-01-01 17:30:00: 18.97,2018-01-01 18:00:00: 18.97,2018-01-01 18:30:00: 18.97,2018-01-01 19:00:00: 18.97,2018-01-01 19:30:00: 18.97,2018-01-01 20:00:00: 18.97,2018-01-01 20:30:00: 18.97,2018-01-01 21:00:00: 18.97,2018-01-01 21:30:00: 18.97,2018-01-01 22:00:00: 18.97,2018-01-01 22:30:00: 18.97,2018-01-01 23:00:00: 18.97,2018-01-01 23:30:00: 18.97,2018-01-02 00:00:00: 18.97
8,001e0610f02f,00A,41.9262614,-87.6307578,Lake Shore Drive & Fullerton Ave Chicago IL,2018-01-01 00:00:00: 27.74,2018-01-01 00:30:00: 27.74,2018-01-01 01:00:00: 27.74,2018-01-01 01:30:00: 27.74,2018-01-01 02:00:00: 27.74,2018-01-01 02:30:00: 27.74,2018-01-01 03:00:00: 27.74,2018-01-01 03:30:00: 27.74,2018-01-01 04:00:00: 27.74,2018-01-01 04:30:00: 27.74,2018-01-01 05:00:00: 27.74,2018-01-01 05:30:00: 27.74,2018-01-01 06:00:00: 27.74,2018-01-01 06:30:00: 27.74,2018-01-01 07:00:00: 27.74,2018-01-01 07:30:00: 27.74,2018-01-01 08:00:00: 27.74,2018-01-01 08:30:00: 27.74,2018-01-01 09:00:00: 27.74,2018-01-01 09:30:00: 27.74,2018-01-01 10:00:00: 27.74,2018-01-01 10:30:00: 27.74,2018-01-01 11:00:00: 27.74,2018-01-01 11:30:00: 27.74,2018-01-01 12:00:00: 27.74,2018-01-01 12:30:00: 27.74,2018-01-01 13:00:00: 27.74,2018-01-01 13:30:00: 27.74,2018-01-01 14:00:00: 27.74,2018-01-01 14:30:00: 27.74,2018-01-01 15:00:00: 27.74,2018-01-01 15:30:00: 27.74,2018-01-01 16:00:00: 27.74,2018-01-01 16:30:00: 27.74,2018-01-01 17:00:00: 27.74,2018-01-01 17:30:00: 27.74,2018-01-01 18:00:00: 27.74,2018-01-01 18:30:00: 27.74,2018-01-01 19:00:00: 27.74,2018-01-01 19:30:00: 27.74,2018-01-01 20:00:00: 27.74,2018-01-01 20:30:00: 27.74,2018-01-01 21:00:00: 27.74,2018-01-01 21:30:00: 27.74,2018-01-01 22:00:00: 27.74,2018-01-01 22:30:00: 27.74,2018-01-01 23:00:00: 27.74,2018-01-01 23:30:00: 27.74,2018-01-02 00:00:00: 27.74
